=== TigerIngest in application.log ===
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=GAME, price=0.435, volume=746900, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SCNI, price=0.347, volume=726000, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=GTBP, price=0.4457, volume=1281700, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=CURX, price=0.32, volume=85000, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=LIMN, price=0.1138, volume=1589700, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=VSTD, price=0.291, volume=47600, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SNYR, price=0.1941, volume=391300, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=DLXY, price=0.45, volume=82600, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SNGX, price=0.4254, volume=717000, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=HRTX, price=0.382, volume=2823300, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=TOVX, price=0.2776, volume=1716100, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=HCWC, price=0.2454, volume=685100, date=2026-06-17
